Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,1130,0,240.0,1697.9099219762802,87.88658300181851,12390.748294012155,157.0,0.8964933591718696,0.0,240,1800,2200,3300,5600,7900,9500,10000,11000,12000,12000
total,S1,1130,0,7300.0,8240.48261770927,1354.5616830233485,24615.169438999146,256.0,0.8964933591718696,0.0,7300,9500,12000,13000,17000,19000,21000,22000,24000,25000,25000
TTFT,S2,2799,0,310.0,1735.4176479274918,132.71372305462137,12555.397633987013,1153.0,2.2206061170991704,0.0,310,1800,2700,3500,5500,7400,9100,10000,11000,13000,13000
total,S2,2799,0,6800.0,8133.190122367353,1387.5655039446428,26764.33407102013,256.0,2.2206061170991704,0.0,6800,9300,11000,12000,17000,19000,22000,23000,26000,27000,27000
TTFT,S3,1771,0,3500.0,4316.596554294441,2285.034494008869,14495.476799027529,9649.0,1.4050351673392751,0.0,3500,5200,5700,5900,7800,9400,11000,12000,13000,14000,14000
total,S3,1771,0,9600.0,10690.32227377398,3605.6487229652703,27239.998621982522,256.0,1.4050351673392751,0.0,9600,12000,14000,15000,18000,20000,23000,24000,26000,27000,27000
,Aggregated,11400,0,4100.0,5739.46227749201,87.88658300181851,27239.998621982522,1925.6347368421052,9.044269287220631,0.0,4100,6700,8300,9700,14000,17000,20000,22000,25000,27000,27000
