Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,1084,0,160.0,162.92342834054995,93.47443794831634,256.672624964267,157.0,6.042497424769735,0.0,160,170,170,170,170,180,190,240,250,260,260
total,S1,1084,0,2100.0,1969.108273461633,1650.9293040144257,2198.879470000975,256.0,6.042497424769735,0.0,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,2168,0,260.0,1066.0158509010914,93.47443794831634,2198.879470000975,206.5,12.08499484953947,0.0,1700,1700,2100,2100,2200,2200,2200,2200,2200,2200,2200
