Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,369,0,250.0,2580.41543028094,84.03889398323372,19973.063845012803,157.0,0.4097388769896982,0.0,250,1900,3500,5000,8600,12000,15000,17000,20000,20000,20000
total,S1,369,0,7300.0,9105.522599944537,1220.6892519607209,31473.519122984726,256.0,0.4097388769896982,0.0,7300,11000,13000,15000,19000,25000,26000,27000,31000,31000,31000
TTFT,S2,884,0,320.0,2925.81963449626,135.39368205238134,19932.306694972795,1153.0,0.981596659238193,0.0,320,3300,3900,5700,8900,12000,15000,17000,20000,20000,20000
total,S2,884,0,7500.0,9497.954237214833,1257.0481590228155,31559.989890025463,256.0,0.981596659238193,0.0,7500,11000,14000,15000,20000,23000,28000,30000,32000,32000,32000
TTFT,S3,562,0,3600.0,5245.010769675367,2256.168548949063,20007.5528290472,9649.0,0.6240467449002991,0.0,3700,5600,6400,7900,11000,14000,17000,18000,20000,20000,20000
total,S3,562,0,9600.0,11687.62315584031,3366.859851987101,31445.411724969745,256.0,0.6240467449002991,0.0,9600,14000,17000,18000,22000,26000,29000,30000,31000,31000,31000
,Aggregated,3630,0,5000.0,6834.949725037362,84.03889398323372,31559.989890025463,1918.6123966942148,4.030764562256381,0.0,5000,7900,10000,12000,17000,20000,25000,28000,31000,32000,32000
