Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S2,944,0,360.0,357.0042182049508,271.6862150118686,417.0613830210641,1153.0,5.244522177117616,0.0,360,370,370,370,380,390,400,400,420,420,420
total,S2,944,0,2500.0,2259.8010576606366,1834.5366480061784,2580.8545429608785,256.0,5.244522177117616,0.0,2500,2500,2500,2500,2500,2500,2600,2600,2600,2600,2600
,Aggregated,1888,0,420.0,1308.4026379327936,271.6862150118686,2580.8545429608785,704.5,10.489044354235231,0.0,1800,1900,2500,2500,2500,2500,2500,2600,2600,2600,2600
