Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,418,0,210.0,714.196283988121,87.40878198295832,3900.616024970077,157.0,0.46456218862782783,0.0,210,250,330,1800,2200,3400,3600,3700,3900,3900,3900
total,S1,418,0,5700.0,6656.37032916707,1721.657702990342,16479.458081012126,256.0,0.46456218862782783,0.0,5700,7800,8200,9500,12000,14000,16000,16000,16000,16000,16000
TTFT,S2,1049,0,280.0,844.6917207664686,135.9454600024037,5609.761526982766,1153.0,1.165851042752611,0.0,280,320,440,1900,3400,3500,3700,4000,5600,5600,5600
total,S2,1049,0,6300.0,6861.009254473535,1744.146773009561,23104.08485599328,256.0,1.165851042752611,0.0,6300,8000,9100,9800,12000,13000,16000,16000,20000,23000,23000
TTFT,S3,650,0,2500.0,3714.7048197284594,2285.2386200102046,13627.981718978845,9649.0,0.7224053172442298,0.0,2500,4100,5200,5400,5800,7100,8700,10000,14000,14000,14000
total,S3,650,0,9000.0,9779.376891340005,4006.7526909988374,23672.616861993447,256.0,0.7224053172442298,0.0,9000,11000,12000,13000,15000,17000,21000,23000,24000,24000,24000
,Aggregated,4234,0,3600.0,4708.391657893271,87.40878198295832,23672.616861993447,1910.4688238072745,4.705637097249338,0.0,3600,5700,7300,8100,11000,13000,16000,17000,23000,24000,24000
