ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T03:07:47Z,8001,1,0,0,0,0.025641,0,1195,297423,1670.21,1195,3605.08,1215
2026-07-30T03:07:47Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:07:51Z,8001,0,0,0,0,0,0,1197,297836,1670.21,1197,3605.21,1216
2026-07-30T03:07:51Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:07:53Z,8001,1,0,0,0,0.0512821,0,1197,298015,1670.21,1197,3607.49,1217
2026-07-30T03:07:53Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:07:54Z,8001,1,0,0,0,0.025641,0,1198,298308,1670.21,1198,3607.63,1218
2026-07-30T03:07:54Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:07:56Z,8001,0,0,0,0,0,0,1199,298348,1670.21,1199,3607.63,1218
2026-07-30T03:07:56Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:07:57Z,8001,1,0,0,0,0.0512821,0,1199,298459,1670.21,1199,3609.91,1219
2026-07-30T03:07:57Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:07:59Z,8001,0,0,0,0,0,0,1200,298604,1670.21,1200,3609.91,1219
2026-07-30T03:07:59Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:08:00Z,8001,1,0,0,0,0.0512821,0,1200,298610,1670.21,1200,3612.23,1220
2026-07-30T03:08:00Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:08:02Z,8001,1,0,0,0,0.025641,0,1201,298916,1670.21,1201,3612.37,1221
2026-07-30T03:08:02Z,8002,0,0,0,0,0,0,1169,297608,1701.79,1169,3620.69,1188
2026-07-30T03:08:03Z,8001,1,0,0,0,0.025641,0,1202,299209,1670.21,1202,3612.52,1222
