ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T03:07:47Z,running,12.46,466746,14.9,18235,18614,0,0,1.75,106.70,0.76
2026-07-30T03:07:51Z,running,12.46,466543,14.9,16957,19439,0,0,1.75,106.70,0.76
2026-07-30T03:07:53Z,running,13.23,466608,14.9,17366,18934,0,0,1.75,106.70,0.76
2026-07-30T03:07:54Z,running,13.23,466651,14.9,17199,19054,0,0,1.75,106.70,0.76
2026-07-30T03:07:56Z,running,13.23,466747,14.9,16899,19420,0,0,1.75,106.70,0.76
2026-07-30T03:07:57Z,running,13.13,466811,14.9,17256,18966,0,0,1.75,106.70,0.76
2026-07-30T03:07:59Z,running,13.13,466218,14.9,17358,18196,0,0,1.75,106.70,0.76
2026-07-30T03:08:00Z,running,13.13,467063,14.9,17259,19095,0,0,1.75,106.70,0.76
2026-07-30T03:08:02Z,running,13.76,466842,14.9,17529,18483,0,0,1.75,106.70,0.76
2026-07-30T03:08:03Z,running,13.76,467074,14.9,17599,18515,0,0,1.75,106.70,0.76
2026-07-30T03:08:05Z,running,13.76,466512,14.9,17114,18371,0,0,1.46,106.85,0.66
2026-07-30T03:08:08Z,running,13.14,467260,14.9,17675,18226,0,0,1.46,106.85,0.66
2026-07-30T03:08:10Z,running,13.14,467579,14.9,17922,18084,0,0,1.46,106.85,0.66
2026-07-30T03:08:11Z,running,13.14,466274,14.9,18226,16289,0,0,1.46,106.85,0.66
2026-07-30T03:08:13Z,running,14.41,467443,14.9,18551,16945,0,0,1.46,106.85,0.66
2026-07-30T03:08:14Z,running,14.41,467280,14.9,18464,16593,0,0,1.46,106.85,0.66
2026-07-30T03:08:16Z,running,14.41,466650,14.9,18314,15918,0,0,1.46,106.85,0.66
2026-07-30T03:08:17Z,running,14.29,466784,14.9,18007,16285,0,0,1.46,106.85,0.66
2026-07-30T03:08:19Z,running,14.29,468681,14.9,18952,17121,0,0,1.46,106.85,0.66
2026-07-30T03:08:20Z,running,14.29,467316,14.9,18507,16022,0,0,1.46,106.85,0.66
2026-07-30T03:08:22Z,running,13.55,467698,14.7,18299,16550,0,0,1.89,135.71,0.63
2026-07-30T03:08:25Z,running,13.55,469741,14.7,18157,18585,0,0,1.89,135.71,0.63
2026-07-30T03:08:27Z,running,13.10,467370,14.7,15300,18860,0,0,1.89,135.71,0.63
2026-07-30T03:08:28Z,running,13.10,466792,14.7,14722,18783,0,0,1.89,135.71,0.63
2026-07-30T03:08:30Z,running,13.10,465810,14.7,14177,18120,0,0,1.89,135.71,0.63
2026-07-30T03:08:32Z,running,13.10,465821,14.7,13807,18464,0,0,1.89,135.71,0.63
2026-07-30T03:08:33Z,running,13.10,466325,14.7,14032,18611,0,0,1.89,135.71,0.63
2026-07-30T03:08:35Z,running,13.10,465094,14.7,13785,17422,0,0,1.89,135.71,0.63
