ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T03:07:47Z,0,98,32094,274.09,64,2805
2026-07-30T03:07:47Z,1,0,31854,77.91,55,2430
2026-07-30T03:07:47Z,2,0,1,13.08,35,210
2026-07-30T03:07:47Z,3,0,1,16.63,32,210
2026-07-30T03:07:47Z,4,0,29902,15.73,31,210
2026-07-30T03:07:47Z,5,0,29900,17.43,33,210
2026-07-30T03:07:47Z,6,0,1446,66.94,40,2430
2026-07-30T03:07:47Z,7,0,20434,389.11,43,2730
2026-07-30T03:07:51Z,0,100,32094,465.59,70,2595
2026-07-30T03:07:51Z,1,0,31854,76.40,54,2430
2026-07-30T03:07:51Z,2,0,1,13.82,35,210
2026-07-30T03:07:51Z,3,0,1,17.05,32,210
2026-07-30T03:07:51Z,4,0,29902,15.23,31,210
2026-07-30T03:07:51Z,5,0,29900,17.61,33,210
2026-07-30T03:07:51Z,6,0,1446,65.54,40,2430
2026-07-30T03:07:51Z,7,99,20434,381.91,49,2280
2026-07-30T03:07:53Z,0,98,32094,300.52,64,2797
2026-07-30T03:07:53Z,1,0,31854,29.75,53,360
2026-07-30T03:07:53Z,2,0,1,14.72,35,210
2026-07-30T03:07:53Z,3,0,1,19.98,32,210
2026-07-30T03:07:53Z,4,0,29902,18.23,31,210
2026-07-30T03:07:53Z,5,0,29900,16.82,33,210
2026-07-30T03:07:53Z,6,0,1446,65.46,40,2430
2026-07-30T03:07:53Z,7,100,20434,440.70,52,2422
2026-07-30T03:07:54Z,0,98,32094,268.70,64,2797
2026-07-30T03:07:54Z,1,0,31854,21.79,52,210
2026-07-30T03:07:54Z,2,0,1,13.75,35,210
2026-07-30T03:07:54Z,3,0,1,16.97,32,210
2026-07-30T03:07:54Z,4,0,29902,15.06,31,210
2026-07-30T03:07:54Z,5,0,29900,16.78,33,210
2026-07-30T03:07:54Z,6,0,2174,64.88,40,2437
2026-07-30T03:07:54Z,7,0,20434,131.37,43,2917
2026-07-30T03:07:56Z,0,100,32094,372.29,71,2610
2026-07-30T03:07:56Z,1,0,31854,18.72,52,210
2026-07-30T03:07:56Z,2,0,1,14.38,35,210
2026-07-30T03:07:56Z,3,0,1,19.63,32,210
2026-07-30T03:07:56Z,4,0,29902,18.04,31,210
2026-07-30T03:07:56Z,5,0,29900,17.26,33,210
2026-07-30T03:07:56Z,6,0,2176,84.28,40,2445
2026-07-30T03:07:56Z,7,99,20434,349.07,51,2257
2026-07-30T03:07:57Z,0,98,32094,348.57,64,2797
2026-07-30T03:07:57Z,1,0,31854,19.00,51,210
2026-07-30T03:07:57Z,2,0,1,15.20,35,210
2026-07-30T03:07:57Z,3,0,1,17.42,32,210
2026-07-30T03:07:57Z,4,0,29902,17.41,31,210
2026-07-30T03:07:57Z,5,0,29900,15.16,33,210
2026-07-30T03:07:57Z,6,2,5764,185.20,42,2925
2026-07-30T03:07:57Z,7,99,20434,396.26,53,2527
2026-07-30T03:07:59Z,0,100,32094,230.43,71,2760
2026-07-30T03:07:59Z,1,0,31854,19.98,51,210
2026-07-30T03:07:59Z,2,0,1,12.87,35,210
2026-07-30T03:07:59Z,3,0,1,18.12,32,210
2026-07-30T03:07:59Z,4,0,29902,17.18,31,210
2026-07-30T03:07:59Z,5,0,29900,16.64,33,210
2026-07-30T03:07:59Z,6,100,8042,449.19,51,2250
2026-07-30T03:07:59Z,7,72,20434,420.79,50,2632
2026-07-30T03:08:00Z,0,99,32094,430.53,65,2535
2026-07-30T03:08:00Z,1,0,31854,17.98,51,210
2026-07-30T03:08:00Z,2,0,1,15.15,35,210
2026-07-30T03:08:00Z,3,0,1,16.90,32,210
2026-07-30T03:08:00Z,4,0,29902,17.89,31,210
2026-07-30T03:08:00Z,5,0,29900,14.00,33,210
2026-07-30T03:08:00Z,6,100,8914,450.10,51,1515
2026-07-30T03:08:00Z,7,60,20434,119.53,47,2865
2026-07-30T03:08:02Z,0,98,32094,276.19,63,2797
2026-07-30T03:08:02Z,1,0,31854,20.00,50,210
2026-07-30T03:08:02Z,2,0,1,13.65,35,210
2026-07-30T03:08:02Z,3,0,1,19.10,32,210
2026-07-30T03:08:02Z,4,0,29902,15.94,31,210
2026-07-30T03:08:02Z,5,0,29900,17.17,33,210
2026-07-30T03:08:02Z,6,99,9464,449.77,52,1897
2026-07-30T03:08:02Z,7,99,20434,434.56,52,2212
2026-07-30T03:08:03Z,0,98,32094,271.45,63,2797
2026-07-30T03:08:03Z,1,0,31854,19.45,50,210
2026-07-30T03:08:03Z,2,0,1,13.43,35,210
2026-07-30T03:08:03Z,3,0,1,19.44,32,210
2026-07-30T03:08:03Z,4,0,29902,17.10,31,210
2026-07-30T03:08:03Z,5,0,29900,15.71,33,210
2026-07-30T03:08:03Z,6,100,9144,449.93,53,1717
2026-07-30T03:08:03Z,7,100,20434,443.83,53,2340
2026-07-30T03:08:05Z,0,100,32094,200.73,70,2790
2026-07-30T03:08:05Z,1,0,31854,19.67,50,210
2026-07-30T03:08:05Z,2,0,1,13.85,35,210
2026-07-30T03:08:05Z,3,0,1,17.01,32,210
2026-07-30T03:08:05Z,4,0,29902,14.90,31,210
2026-07-30T03:08:05Z,5,0,29900,14.87,33,210
2026-07-30T03:08:05Z,6,100,8582,449.61,53,1740
2026-07-30T03:08:05Z,7,0,20434,149.51,44,2910
2026-07-30T03:08:08Z,0,98,32094,270.48,63,2797
2026-07-30T03:08:08Z,1,0,31854,18.01,49,210
2026-07-30T03:08:08Z,2,0,1,14.38,35,210
2026-07-30T03:08:08Z,3,0,1,17.52,32,210
2026-07-30T03:08:08Z,4,0,29902,16.61,31,210
2026-07-30T03:08:08Z,5,0,29900,14.65,33,210
2026-07-30T03:08:08Z,6,2,21462,372.47,46,2797
2026-07-30T03:08:08Z,7,53,22740,439.73,48,2557
2026-07-30T03:08:10Z,0,99,32094,273.68,63,2797
2026-07-30T03:08:10Z,1,0,31854,20.07,48,210
2026-07-30T03:08:10Z,2,0,1,12.20,35,210
2026-07-30T03:08:10Z,3,0,1,19.15,32,210
2026-07-30T03:08:10Z,4,0,29902,17.58,31,210
2026-07-30T03:08:10Z,5,0,29900,17.23,33,210
2026-07-30T03:08:10Z,6,100,21462,434.11,54,1920
2026-07-30T03:08:10Z,7,0,22740,224.75,45,2910
2026-07-30T03:08:11Z,0,100,32094,369.50,70,2647
2026-07-30T03:08:11Z,1,0,31854,18.38,48,210
2026-07-30T03:08:11Z,2,0,1,15.48,35,210
2026-07-30T03:08:11Z,3,0,1,17.73,32,210
2026-07-30T03:08:11Z,4,0,29902,18.32,31,210
2026-07-30T03:08:11Z,5,0,29900,15.47,33,210
2026-07-30T03:08:11Z,6,0,21462,96.40,45,2917
2026-07-30T03:08:11Z,7,99,22740,450.74,54,2730
2026-07-30T03:08:13Z,0,99,32094,353.59,63,2797
2026-07-30T03:08:13Z,1,0,31854,19.97,48,210
2026-07-30T03:08:13Z,2,0,1,13.89,35,210
2026-07-30T03:08:13Z,3,0,1,18.85,32,210
