Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,165,0,240.0,962.363199449751,86.87065995763987,6214.09710199805,157.0,0.22914935005958662,0.0,240,330,1900,2000,3300,3800,4300,5700,6200,6200,6200
total,S1,165,0,9400.0,9602.733620659406,1225.9388089878485,23057.671037968248,256.0,0.22914935005958662,0.0,9400,12000,14000,17000,19000,20000,21000,21000,23000,23000,23000
TTFT,S2,465,0,310.0,1200.7236336677095,132.84717197529972,6137.453943025321,1153.0,0.6457845319861077,0.0,310,580,2000,2600,3600,4000,5100,5700,6100,6100,6100
total,S2,465,0,8000.0,9194.310509109797,1273.4447169932537,26553.82179300068,256.0,0.6457845319861077,0.0,8000,12000,14000,16000,18000,20000,21000,23000,27000,27000,27000
TTFT,S3,228,0,2800.0,3954.128726815454,2292.0104970107786,12347.627809969708,9649.0,0.31664273826415607,0.0,2900,4700,5400,5700,6000,7500,9500,11000,12000,12000,12000
total,S3,228,0,11000.0,12070.724517914769,3469.237338984385,26659.82504497515,256.0,0.31664273826415607,0.0,11000,14000,17000,18000,20000,21000,25000,25000,27000,27000,27000
,Aggregated,1716,0,3500.0,5961.88717453849,86.87065995763987,26659.82504497515,1737.56993006993,2.3831532406197007,0.0,3500,6200,9700,11000,17000,19000,21000,22000,27000,27000,27000
