Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,24,0,100.0,457.400651864494,89.22108000842854,2243.7623009900562,157.0,0.1350837171101897,0.0,100,180,590,650,1800,1900,2200,2200,2200,2200,2200
total,S1,24,0,1600.0,2104.230815285215,1225.745932024438,3692.4031020025723,256.0,0.1350837171101897,0.0,1600,2200,3100,3100,3200,3300,3700,3700,3700,3700,3700
TTFT,S2,90,0,150.0,287.63162933367613,132.1105200331658,2018.5101210372522,1153.0,0.5065639391632114,0.0,150,180,240,250,260,1800,1900,2000,2000,2000,2000
total,S2,90,0,1600.0,1791.1048251592244,1209.083434951026,3475.1723130466416,256.0,0.5065639391632114,0.0,1600,1700,1700,1700,3100,3300,3400,3500,3500,3500,3500
TTFT,S3,52,0,2300.0,2626.8116622679654,2282.634404953569,4689.769241027534,9649.0,0.2926813870720777,0.0,2300,2400,2400,2500,4000,4100,4200,4700,4700,4700,4700
total,S3,52,0,3900.0,4264.522712826594,3378.2851800206117,6188.702034007292,256.0,0.2926813870720777,0.0,3900,3900,5500,5500,5500,6100,6100,6200,6200,6200,6200
,Aggregated,332,0,1600.0,1828.0566976532264,89.22108000842854,6188.702034007292,1963.198795180723,1.8686580866909575,0.0,1700,2300,3000,3300,3900,4700,5500,5600,6200,6200,6200
