Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,S1,159,0,300.0,2758.2943493345865,86.65536699118093,15135.20029198844,157.0,0.22078576871060393,0.0,300,2100,3500,6300,10000,12000,14000,15000,15000,15000,15000
total,S1,159,0,8200.0,9499.554280089522,1254.238399968017,26655.520998989232,256.0,0.22078576871060393,0.0,8200,11000,12000,14000,22000,23000,25000,25000,27000,27000,27000
TTFT,S2,404,0,410.0,2995.45995315213,134.16673697065562,19852.329425048083,1153.0,0.5609902550885786,0.0,430,3200,3900,6300,10000,12000,14000,15000,20000,20000,20000
total,S2,404,0,8200.0,10107.475313847155,1300.7995680090971,28192.31937400764,256.0,0.5609902550885786,0.0,8300,12000,13000,17000,22000,24000,25000,27000,28000,28000,28000
TTFT,S3,237,0,4000.0,5399.643716576238,2281.155148986727,21456.552991992794,9649.0,0.3290957684554285,0.0,4000,5700,7000,8300,11000,13000,17000,20000,21000,21000,21000
total,S3,237,0,11000.0,12298.05170844028,3466.7774889967404,28445.338989025913,256.0,0.3290957684554285,0.0,11000,14000,19000,20000,23000,27000,28000,28000,28000,28000,28000
,Aggregated,1600,0,5500.0,7148.085997296912,86.65536699118093,28445.338989025913,1863.9925,2.221743584509222,0.0,5500,8500,11000,12000,19000,22000,25000,27000,28000,28000,28000
